,index,key,score,total_mentions
0,630,infarction mi,74.28571428571419,300.0
1,2351,mortality morbidity,71.93333333333221,166.0
2,1101,young adults,62.39999999999975,624.0
3,2885,cerebral perfusion,53.81860465116303,203.0
4,2562,patients receiving,52.90277777777806,586.0
5,3406,analysis results,52.33548387096804,208.0
6,3411,duplex ultrasound,38.26490066225179,270.0
7,1327,trend toward,35.11363636363669,309.0
8,139,functional status,31.850000000000268,196.0
9,2924,excluded patients,28.99999999999983,145.0
10,3153,fractional flow,28.522388059701573,273.0
11,387,records patients,28.19090909090853,443.0
12,2405,malignant lesions,26.74374999999988,389.0
13,1461,treatment strategy,26.670935960591205,253.0
14,1662,late gadolinium,23.818750000000072,309.0
15,1730,aortic aneurysms,23.504477611940665,254.0
16,865,performed cases,22.499999999999623,225.0
17,296,single institution,22.14576271186428,278.0
18,1657,largely unknown,21.716546762590085,351.0
19,1117,signs symptoms,18.90465631929042,290.0
20,839,transthoracic echocardiography,17.034146341463362,582.0
21,656,regions including,16.97499999999991,194.0
22,1436,provide important,16.79240506329125,201.0
23,1349,cognitive deficits,16.693457943925363,229.0
24,3162,vessel diameter,16.53432835820892,191.0
25,2707,patients early,16.486363636363595,351.0
26,3466,least years,16.37777777777782,201.0
27,2817,weeks later,15.899999999999844,159.0
28,2192,renal artery,15.331972789115506,382.0
29,2363,patients chronic,14.309923664122026,721.0
30,2763,rv function,14.235195530726203,307.0
31,1089,ventricular rv,14.14644351464433,345.0
32,2687,women aged,14.09703872437358,319.0
33,3484,adverse cardiovascular,13.698245614035104,192.0
34,1250,patients presented,13.131390134529099,681.0
35,3387,analyses used,12.99999999999994,182.0
36,3198,acl reconstruction,12.926121372031657,355.0
37,1516,tomography angiography,12.71860902255641,953.0
38,1953,chest wall,12.600000000000053,243.0
39,2375,microcomputed tomography,12.211111111111135,157.0
40,1853,membrane potential,12.070454545454593,226.0
41,2344,ischemic stroke,12.01643835616431,1462.0
42,1630,analyzed patients,11.90322580645164,369.0
43,313,patients control,11.617054263565896,381.0
44,693,stent grafts,11.437037037037017,193.0
45,2022,retrospective chart,11.344051446945372,280.0
46,1626,injury tbi,11.31056910569096,188.0
47,2740,strain gls,11.066666666666633,166.0
48,3527,fiber layer,11.004901960784208,449.0
49,1915,studies confirmed,10.837288135593202,139.0
50,1583,nerve head,10.818181818181818,170.0
51,3638,rotator cuff,10.792452830188667,715.0
52,91,widely available,10.742105263157857,157.0
53,1633,subjects aged,10.645161290322559,150.0
54,1901,weeks range,10.548717948717911,121.0
55,3468,reserve ffr,10.470422535211227,177.0
56,1389,gadolinium enhancement,10.292079207920821,315.0
57,2443,confocal microscopy,10.101420454545494,1147.0
58,316,vascular access,9.964322469982852,282.0
59,1204,prefrontal cortex,9.869888922245632,1847.0
60,2358,cell morphology,9.692579505300365,211.0
61,69,using multivariate,9.663157894736853,153.0
62,2099,patients male,9.622222222222128,433.0
63,2593,temporal lobe,9.535883654758125,914.0
64,2314,de novo,9.260869565217378,497.0
65,293,consisted patients,9.05015479876158,232.0
66,1404,independent predictors,9.036012418075181,891.0
67,1366,females mean,8.761137440758247,237.0
68,2793,aortic repair,8.657439446366778,278.0
69,1545,characterized using,8.652173913043548,199.0
70,951,coronary intervention,8.609307737056396,961.0
71,2718,within first,8.487471526195902,230.0
72,94,endothelial cell,8.486319845857423,286.0
73,2354,femoral artery,8.41300813008126,398.0
74,3323,brain network,8.389937106918236,290.0
75,1201,functional outcomes,8.349179046129755,499.0
76,2015,period months,8.14487632508832,461.0
77,2713,dilated cardiomyopathy,7.986577181208079,238.0
78,1059,secondary outcomes,7.759477124182974,336.0
79,2377,volume total,7.750000000000023,155.0
80,1847,frontal parietal,7.644673539518914,227.0
81,3371,using mr,7.478048780487838,146.0
82,3515,response rate,7.477659574468084,213.0
83,1866,calculated using,7.366686710763674,738.0
84,148,lipoprotein cholesterol,7.311764705882382,226.0
85,1529,aortic arch,7.303862660944199,762.0
86,3109,groups based,7.270557717250315,308.0
87,2482,endothelial cells,7.228947368421031,603.0
88,2186,cardiovascular diseases,7.228125000000047,257.0
89,478,dorsolateral prefrontal,7.123484013230443,497.0
90,307,endovascular repair,7.11103896103894,233.0
91,2292,occurred patients,7.040424204616346,773.0
92,2509,studies demonstrated,7.011019283746564,509.0
93,2499,aim determine,6.851937594363406,674.0
94,1785,majority cases,6.5722222222222255,169.0
95,3550,used quantify,6.351145038168002,260.0
96,2801,endovascular treatment,6.3477064220183035,629.0
97,3374,without history,6.344272445820439,218.0
98,2025,january december,6.280849435622736,938.0
99,2991,patients reported,6.278787878787858,296.0
100,2654,institutes health,6.242447418738034,308.0
101,2730,patients postoperative,6.241059602649024,152.0
102,1636,studies included,6.238767650834399,300.0
103,2430,young patients,5.9740498034075715,213.0
104,1684,found groups,5.926923076923069,201.0
105,3563,myocardial ischemia,5.853012048192775,347.0
106,2762,femoral head,5.809373235460212,578.0
107,2574,wild type,5.774301675977641,304.0
108,2454,analogue scale,5.737254901960795,209.0
109,1738,ii iii,5.736448598130824,372.0
110,2913,surgical treatment,5.69648894668398,1043.0
111,2486,older years,5.612006861063457,287.0
112,2176,percutaneous coronary,5.606837606837532,984.0
113,2289,optimal treatment,5.604221635883905,180.0
114,1808,showed reduced,5.538943248532255,232.0
115,299,surgical resection,5.494817964390108,899.0
116,571,stent placement,5.484116899618813,332.0
117,1745,range range,5.482022471910091,287.0
118,727,value npv,5.442047531992676,244.0
119,1882,years underwent,5.36566757493191,547.0
120,1788,patients stage,5.33477672530446,256.0
121,2631,end points,5.318504190844613,365.0
122,2721,patients treatment,5.2656716417910365,168.0
123,2252,pleural effusion,5.244970414201166,277.0
124,926,score associated,5.239726027397266,153.0
125,3255,patients used,5.233333333333335,157.0
126,402,commonly associated,5.203603603603577,152.0
127,812,data regarding,5.162589928057552,312.0
128,1670,endovascular aortic,5.1550802139037515,241.0
129,1904,recent studies,5.100000000000001,639.0
130,2874,many studies,5.094949494949503,194.0
131,1556,groups vs,5.03089430894307,182.0
132,2235,pubmed embase,5.010714285714296,183.0
133,3063,independent component,4.982142857142852,186.0
134,1240,focused ultrasound,4.949384404924768,270.0
135,1938,patients demonstrated,4.91351351351352,303.0
136,2374,patients categorized,4.900000000000004,161.0
137,2591,studies examined,4.897619047619037,187.0
138,2290,patients completed,4.888888888888897,220.0
139,3174,patients identified,4.869200524246406,432.0
140,3431,target vessel,4.783685800604239,203.0
141,1802,mean time,4.76366612111292,539.0
142,1338,acute ischemic,4.724999999999995,540.0
143,2912,prognostic factors,4.64860267314702,407.0
144,2,lesions patients,4.647945205479448,468.0
145,2732,article review,4.6175438596491105,188.0
146,3318,photoelectron spectroscopy,4.6000000000000085,207.0
147,326,aimed examine,4.5789473684210815,145.0
148,507,body mass,4.577117299091065,2060.0
149,2604,examination showed,4.574468085106397,325.0
150,845,articular cartilage,4.560189253126064,404.0
151,240,however little,4.511111111111116,406.0
152,592,national institutes,4.504380475594492,305.0
153,884,patients men,4.500625782227804,580.0
154,2483,women men,4.398080614203465,603.0
155,1685,imaging biomarkers,4.364350453172212,233.0
156,3599,successful patients,4.355852842809353,176.0
157,3578,thoracic aorta,4.316641679160408,236.0
158,3346,fluorescently labeled,4.31304347826086,144.0
159,1805,values higher,4.292307692307668,279.0
160,136,cells vitro,4.266666666666664,216.0
161,337,systolic dysfunction,4.2638228055783225,356.0
162,964,breast lesions,4.254310344827573,423.0
163,2021,volume changes,4.222580645161287,187.0
164,286,acuity bcva,4.211842105263155,291.0
165,2972,lesions found,4.1666666666666625,125.0
166,703,based computed,4.162499999999998,111.0
167,2969,using functional,4.154672897196256,523.0
168,1332,neuroimaging findings,4.125000000000006,165.0
169,3046,rarely reported,4.106007067137798,166.0
170,2001,squamous cell,4.102310231023113,565.0
171,1093,rv dysfunction,4.0916299559471225,258.0
172,504,drug delivery,4.082521357654104,893.0
173,2709,higher rates,4.065558633425663,259.0
174,412,peak systolic,4.037242073477621,382.0
175,816,conservative treatment,3.9957446808510384,313.0
176,755,support use,3.9461538461538397,171.0
177,1887,lung biopsy,3.918918918918904,175.0
178,339,change time,3.910112359550542,145.0
179,1794,myocardial infarction,3.9092592592592794,2111.0
180,3342,different patterns,3.817177914110437,183.0
181,1697,receiver operator,3.7560975609755785,154.0
182,260,conducted patients,3.748946135831378,276.0
183,2940,detection rates,3.720930232558151,288.0
184,2500,pain score,3.7034482758620597,179.0
185,2571,regression model,3.650831502980851,576.0
186,2180,tumor volume,3.6422267481330564,725.0
187,1182,microscopy showed,3.630075187969931,238.0
188,3203,brain atrophy,3.6227544910179854,275.0
189,2144,first reported,3.620253164556981,260.0
190,1860,among cases,3.61363636363635,159.0
191,1143,using standardized,3.591525423728817,163.0
192,1570,disease however,3.5881889763779364,217.0
193,1606,abdominal wall,3.5636863823933913,254.0
194,1496,physical examination,3.558790893437916,721.0
195,3564,important information,3.5574468085106385,152.0
196,2922,hypertension ph,3.544303797468368,175.0
197,1247,coherence tomography,3.49135729428584,2788.0
198,1709,among patients,3.488737538248957,1942.0
199,2048,central peripheral,3.479781420765025,199.0
200,803,cell carcinoma,3.4626363114597316,896.0
201,1216,descriptive statistics,3.443271767810027,225.0
202,1263,taken account,3.4192355117139273,295.0
203,848,drug resistance,3.400000000000018,119.0
204,3202,occurred cases,3.395454545454549,166.0
205,2177,higher sensitivity,3.388429752066095,246.0
206,454,review performed,3.3834710743801772,267.0
207,403,studies evaluating,3.3665271966527293,149.0
208,901,acute appendicitis,3.349462365591393,267.0
209,138,optical coherence,3.320613889808978,2802.0
210,3254,human subjects,3.2907216494845373,228.0
211,217,good excellent,3.2749999999999893,131.0
212,1859,mean months,3.2630789207906385,802.0
213,394,pulmonary vascular,3.233082706766916,172.0
214,2044,taken together,3.2277537796976223,729.0
215,1762,associated lower,3.211315610088621,673.0
216,149,sought investigate,3.208333333333337,154.0
217,1629,identify factors,3.2081218274111722,316.0
218,3027,hounsfield units,3.1339491916859026,295.0
219,2402,brain volume,3.1223583024779265,363.0
220,3510,widespread use,3.1086956521739117,195.0
221,682,texture analysis,3.0615384615384564,199.0
222,1033,patients enrolled,3.0539930555555537,718.0
223,2353,investigate association,3.0487521764364445,309.0
224,3334,chart review,3.0253666270313055,449.0
225,2890,cardiac surgery,2.9874739039665963,265.0
226,1763,left frontal,2.979844961240317,186.0
227,1303,disease activity,2.945671378091884,741.0
228,3314,identified cases,2.915887850467288,160.0
229,2319,associated greater,2.909090909090901,480.0
230,1548,together results,2.906793048973148,400.0
231,1949,patients undergone,2.894491525423723,621.0
232,1362,independent predictor,2.8836795252225422,904.0
233,243,groups similar,2.8798498122653258,195.0
234,3584,mean patients,2.8740904079382528,266.0
235,886,difference observed,2.870888661899892,299.0
236,1987,disease onset,2.865384615384601,149.0
237,992,difference found,2.864705882352931,487.0
238,2743,surgical planning,2.8575560375994153,304.0
239,1205,months range,2.83943089430894,889.0
240,1300,tomography oct,2.837589670014334,1023.0
241,2245,present patients,2.82947037231253,529.0
242,1100,microscopy images,2.8150537634408654,231.0
243,415,duration months,2.8128654970760056,185.0
244,2028,target volume,2.8062780269058116,447.0
245,3101,patients diabetes,2.7916295636687396,209.0
246,3140,screening program,2.7771038665655783,185.0
247,1066,patients bilateral,2.775108538350223,188.0
248,165,matched healthy,2.7615508885298894,231.0
249,1725,together data,2.743040685224829,183.0
250,3319,outcomes patients,2.7118346900438253,802.0
251,2790,studies reported,2.700513573000727,428.0
252,539,support hypothesis,2.6970618034447837,242.0
253,1574,structural changes,2.6968936303733853,573.0
254,2268,patients treated,2.6680158831817486,2422.0
255,362,patients using,2.657188244638596,389.0
256,3509,using dynamic,2.656830601092886,187.0
257,2362,immunofluorescence staining,2.6521739130434647,122.0
258,453,adverse effects,2.6469534050179178,422.0
259,876,well defined,2.6374100719424427,141.0
260,2837,identified using,2.6347762289068233,268.0
261,2198,cardiac dysfunction,2.6250990752972263,368.0
262,3074,previous reports,2.6250000000000067,245.0
263,535,multicenter randomized,2.621739130434769,134.0
264,152,imaging revealed,2.6083206494165476,485.0
265,2361,aim describe,2.604651162790707,210.0
266,1506,light microscopy,2.6040133779264143,458.0
267,2196,thyroid carcinoma,2.593750000000004,249.0
268,2611,natriuretic peptide,2.591803278688519,306.0
269,257,coronary atherosclerosis,2.5879081015719403,261.0
270,1994,highlight importance,2.5874999999999986,138.0
271,3169,stable patients,2.58489425981873,138.0
272,2116,occipital cortex,2.579505300353361,146.0
273,1974,findings associated,2.5633986928104577,159.0
274,953,artery disease,2.562542339111374,1803.0
275,3369,syndrome patients,2.545454545454557,140.0
276,3260,common type,2.544785276073628,122.0
277,2097,proliferation differentiation,2.541552511415524,121.0
278,1157,associated improved,2.5323741007194287,160.0
279,849,taking advantage,2.5162995594713697,136.0
280,2419,used obtain,2.5156249999999987,161.0
281,1043,found patients,2.5088218554353916,760.0
282,2342,present cases,2.5010466222645134,337.0
283,3160,safety profile,2.479120879120877,141.0
284,2600,investigate effects,2.479041916167665,230.0
285,3119,especially patients,2.473152242577386,261.0
286,3583,cardiovascular disease,2.4607287449392548,1013.0
287,1857,using quantitative,2.456973293768543,276.0
288,2161,lung cancer,2.455979925458503,2429.0
289,2518,cell density,2.447144006436039,227.0
290,2882,evidence suggests,2.4350877192982554,347.0
291,3261,showed changes,2.423821339950373,148.0
292,1367,multivariate cox,2.4219306466729114,219.0
293,1288,patients presenting,2.4196428571428554,813.0
294,431,randomized trials,2.416023738872403,207.0
295,397,patients higher,2.4086642599278005,417.0
296,774,imaging dti,2.3986486486486513,639.0
297,2421,patients undergo,2.370862800565774,289.0
298,356,better understanding,2.364203027604635,531.0
299,1874,showed evidence,2.363513513513511,159.0
300,1680,prospectively enrolled,2.3629629629629587,319.0
301,3353,elderly patients,2.361772853185595,294.0
302,2893,tested hypothesis,2.3577464788732367,248.0
303,3409,patients symptomatic,2.3422037422037363,393.0
304,3171,associated low,2.3419354838709756,121.0
305,610,purpose investigate,2.3373271889400873,634.0
306,1784,greater activation,2.336395759717307,174.0
307,1950,imaging technique,2.3328324567994025,675.0
308,1241,independent prognostic,2.327238805970146,189.0
309,846,structural connectivity,2.3197448844007433,278.0
310,40,cuff tears,2.316901408450704,210.0
311,842,close proximity,2.2972188633615453,161.0
312,1824,use imaging,2.294117647058828,273.0
313,2384,regional brain,2.2804733727810653,141.0
314,2860,normal control,2.2768558951965057,237.0
315,3420,available patients,2.255421686746989,216.0
316,1298,better understand,2.2505694760820054,380.0
317,1701,methods used,2.2499999999999876,405.0
318,482,anterior cruciate,2.246788990825684,316.0
319,3592,tomography images,2.2415094339622645,474.0
320,2660,groups b,2.2350305498981706,177.0
321,576,neurological symptoms,2.233976833976835,263.0
322,130,older patients,2.2296296296296325,301.0
323,2175,time months,2.2238887003732577,331.0
324,3291,hazard hr,2.2136811023622034,459.0
325,190,adverse cardiac,2.2095238095238043,348.0
326,773,using multiple,2.201136363636368,149.0
327,1428,green icg,2.1908902691511347,143.0
328,2474,open repair,2.1836153161175424,183.0
329,2301,adult population,2.180412371134017,141.0
330,640,images analyzed,2.1764705882352926,185.0
331,2382,rate higher,2.162499999999985,173.0
332,2777,imaging used,2.1565411852404006,526.0
333,2392,additional imaging,2.1428571428571397,150.0
334,3224,cortical regions,2.140022805017108,408.0
335,1455,spin echo,2.1390728476821175,190.0
336,1937,treated using,2.116304347826082,177.0
